"","id","author","stars","date","comments","length","category"
"1","1","By 'Maletsie J M",5,"Dec 30, 2016","I enjoyed every minute of this course and I have learnt so much. Thank you Coursera for this opportunity. I'll definitely recommend this course to my friends and colleagues.",173,"chem"
"2","2","By Silvia C T",5,"Feb 13, 2018","Amazing, it was a complete review of the first 2 years of college, with teacher who made it easy and as fun as it can be",121,"chem"
"3","3","By Fred H",2,"Apr 06, 2018","By far the worst of the many Coursera courses I have taken.  The slides, lecture notes, spoken lectures and quizzes are all riddled with confusing errors that make learning a painful chore.  That said, the material covered is reasonably comprehensive, so it is still possible to learn something, but only with considerable struggle.  If the numerous errata were corrected and the lectures re-recorded, this could be a good course.",430,"chem"
"4","4","By Jeanine K",5,"Jul 31, 2017","This class was really hard! I am studying to pass the chemistry endorsement test for teachers and I have not had a lot of inorganic chemistry. This class was great and introduced me to a lot of the concepts I will need to know. This class does involve a lot of math and dimensional analysis. I would not recommend it to someone new to chemistry. I would not recommend it to someone curious about chemistry. You need to be familiar with algebra and dimensional analysis and have some knowledge of basic chemistry concepts first. I have completed General and Organic Chemistry but it was many years ago and my general chemistry class was very different. This class is awesome if you need to learn some new information to add to what you already know or if you need to regain some rusty chemistry skills!For me, week 1, 2 and 7 were pretty difficult. Weeks 3, 4, 5, and 6 were much easier for me but that could be because I have some basic chemistry knowledge already.",965,"chem"
"5","5","By Tiziana B",5,"Mar 19, 2016","I have never been good at math nor chemistry but the professor explains the various processes in such a simplistic way that so far I passed the quizzes with a perfect score and I have a pretty good grasp of everything she's saying. Granted, I had to watch some explanations more than once but that's just my pace of learning. I'm thankful for this online course and waiting for the certification to become available!",416,"chem"
"6","6","By Nathan D",5,"Aug 16, 2017","I took this course because I wanted to take AP chem at my high school, but needed preparation as i had not taken a chem course previously. This covers almost the same topics as are taught at my school chem class, and I believe it has prepared me well.",251,"chem"
"7","7","By William L",5,"Jul 24, 2016","This is a great course.  The primary feature is the number of worked and practice problems.  Instead of memorizing, one learns by doing.  Short of being in the lab, this is the next best thing.",193,"chem"
"8","8","By Tajana M",5,"Jun 21, 2017","This is a great course! Very well explained! It's managing to keep my attention on 100% and that's not an easy task for anybody. Thank you for sharing your knowledge with us!",174,"chem"
"9","9","By Ema D",2,"Oct 18, 2018","Could have been more complex stuff as most of the course was A level chemistry",78,"chem"
"10","10","By Trenacye J",5,"Dec 30, 2017","I have always been super interested in chemistry and the concepts that make it into a science, but there were many things i didn't understand. The instructor of this class is very knowledgeable and has a way she presents the information is already making me go hmmm...i actually understand that. I look forward to course completion and everything that i am going to learn. I'll be taking the next steps this spring and starting a degree in biochemistry...Not so intimidated anymore. Thanks",489,"chem"
